Timestamp,Age,Gender,Occupation ,Which platform did you use for your recent purchase?  ,Device used during purchase  ,How often do you shop Online ?,Think about your most recent online purchase. Was it planned in advance?  ,  Did you originally intend to buy this product before opening the app/website?  ,How much time did you spend browsing before purchasing?  ,I often buy things when I am feeling stressed.  ,I shop online to improve my mood.  , I find it hard to resist attractive offers.  ,I experience FOMO (Fear of Missing Out) during flash sales.  ,I sometimes buy products without thinking about future need.  ,I feel excited while making spontaneous (Random)  purchases. ,I regret some purchases later. ,I consider myself emotionally influenced while shopping. ,Was the product on discount? ,Did you see a “Limited Time Offer” message? ,Did an influencer/advertisement influence this purchase? ,Did you receive a push notification before buying? ,Discount percentage (if applicable) ,Did peer (Known Person) recommendation influence your purchase?  ,Payment Method Used (Mostly),Do you usually compare prices before purchasing?  ,How often do you add items to cart but do not purchase?  ,"On average, how many impulse (Actual) purchases do you make per month?  ",I carefully plan my purchases in advance.  ,I stick to my budget while shopping. ,I am comfortable spending money without long consideration. ,I review my expenses regularly. ,Would you classify your recent purchase as: 
3/12/2026 20:03:01,21 - 24,Male,Working Professional,Myntra,Mobile Browser,Weekly,Yes,Yes,5 - 15 minutes,3,3,4,4,3,3,4,3,Yes,No,No,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,3 - 5,2,4,3,2,Completely Unplanned
3/12/2026 20:04:46,25 - 29,Male,Working Professional,Myntra,Laptop / Desktop,Once a month,Yes,No,15 - 30 minutes,2,4,2,4,4,2,4,3,No,No,No,No,0 - 10 %,Yes,Credit Card,Sometimes,Sometimes,1 - 2,2,3,2,4,Partially Planned
3/12/2026 20:06:33,25 - 29,Male,Working Professional,Amazon,Mobile Browser,Rarely,Yes,Yes,15 - 30 minutes,1,2,2,2,1,2,1,3,Yes,No,No,No,No Discount,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,0,5,4,1,5,Completely Planned
3/12/2026 20:08:20,16 - 20,Female,Student,Ajio,Mobile Browser,Weekly,No,No,Less than 5 minutes,4,5,5,4,3,5,4,4,No,Yes,No,Yes,30 - 50 %,No,Buy Now Pay Later,Never,Never,3 - 5,3,3,4,1,Partially Planned
3/12/2026 20:10:04,25 - 29,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,3,2,1,2,2,3,2,2,Yes,No,Yes,Yes,10 - 30 %,No,Credit Card,Always,Always,1 - 2,4,5,1,3,Completely Planned
3/12/2026 20:11:49,25 - 29,Male,Working Professional,Amazon,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,3,4,4,5,4,4,4,5,No,Yes,Yes,Yes,More than 50%,No,Cash on Delivery,Never,Never,More than 5,2,1,5,3,Completely Unplanned
3/12/2026 20:13:39,30 - 34,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,2,2,2,1,2,3,1,3,No,No,No,No,0 - 10 %,No,Credit Card,Sometimes,Always,0,4,4,2,3,Completely Planned
3/12/2026 20:15:24,25 - 29,Male,Self Employed,Meesho,Mobile Browser,2 - 3 times a month,No,Yes,5 - 15 minutes,2,2,3,2,4,2,4,3,Yes,No,No,Yes,10 - 30 %,No,Credit Card,Always,Sometimes,3 - 5,4,3,3,4,Completely Planned
3/12/2026 20:17:05,21 - 24,Female,Student,Ajio,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,4,5,4,4,3,5,3,4,Yes,No,No,No,30 - 50 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Never,3 - 5,1,1,4,3,Partially Planned
3/12/2026 20:18:52,35 +,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,2,2,2,1,1,3,2,3,No,No,No,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,0,5,4,3,4,Completely Planned
3/12/2026 20:20:40,25 - 29,Female,Student,Amazon,Mobile Browser,2 - 3 times a month,No,Yes,5 - 15 minutes,2,4,4,3,4,4,2,4,Yes,Yes,No,Yes,0 - 10 %,Yes,Debit Card,Rarely,Rarely,1 - 2,2,2,2,2,Completely Planned
3/12/2026 20:22:30,21 - 24,Male,Working Professional,Amazon,Mobile Browser,Weekly,Yes,No,15 - 30 minutes,3,3,2,3,2,4,4,2,Yes,Yes,No,Yes,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,3 - 5,2,3,4,4,Completely Planned
3/12/2026 20:24:21,30 - 34,Male,Working Professional,Flipkart,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,2,2,1,1,1,2,3,3,Yes,No,No,No,No Discount,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,0,4,5,1,5,Completely Planned
3/12/2026 20:26:07,25 - 29,Female,Student,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,5,5,5,4,3,3,Yes,Yes,Yes,Yes,More than 50%,No,Buy Now Pay Later,Rarely,Never,More than 5,3,1,5,3,Completely Unplanned
3/12/2026 20:27:53,25 - 29,Male,Working Professional,Amazon,Laptop / Desktop,2 - 3 times a month,No,Yes,5 - 15 minutes,4,2,3,4,2,3,4,4,Yes,Yes,No,Yes,0 - 10 %,Yes,Credit Card,Always,Sometimes,3 - 5,4,4,4,2,Partially Planned
3/12/2026 20:29:39,21 - 24,Male,Working Professional,Myntra,Mobile App,Weekly,No,No,Less than 5 minutes,3,5,5,5,4,5,2,5,Yes,No,Yes,No,30 - 50 %,Yes,Cash on Delivery,Rarely,Rarely,3 - 5,3,1,4,2,Completely Unplanned
3/12/2026 20:31:27,16 - 20,Female,Student,Myntra,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,5,5,3,5,2,5,No,No,Yes,Yes,More than 50%,No,Cash on Delivery,Rarely,Never,3 - 5,3,3,3,2,Completely Unplanned
3/12/2026 20:33:08,30 - 34,Female,Student,Amazon,Laptop / Desktop,2 - 3 times a month,No,No,15 - 30 minutes,2,2,2,4,4,4,2,4,Yes,No,No,Yes,10 - 30 %,No,Cash on Delivery,Always,Rarely,1 - 2,4,4,4,4,Completely Planned
3/12/2026 20:34:56,35 +,Male,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,1,1,1,1,1,1,3,3,Yes,Yes,Yes,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Sometimes,1 - 2,4,5,1,4,Completely Planned
3/12/2026 20:43:46,35 +,Male,Self Employed,Flipkart,Mobile Browser,Once a month,Yes,Yes,15 - 30 minutes,2,2,1,1,1,3,3,1,Yes,No,Yes,Yes,0 - 10 %,No,Credit Card,Sometimes,Sometimes,0,5,5,3,4,Completely Planned
3/12/2026 20:53:51,21 - 24,Female,Working Professional,Flipkart,Mobile App,Weekly,Yes,No,5 - 15 minutes,3,4,4,2,3,3,2,4,Yes,Yes,Yes,Yes,30 - 50 %,No,Debit Card,Sometimes,Sometimes,1 - 2,2,4,4,4,Partially Planned
3/12/2026 20:55:40,30 - 34,Male,Student,Myntra,Mobile App,Weekly,Yes,Yes,15 - 30 minutes,3,4,3,4,2,3,2,2,No,No,Yes,Yes,0 - 10 %,Yes,Debit Card,Sometimes,Always,1 - 2,3,2,2,2,Completely Planned
3/12/2026 20:57:25,21 - 24,Female,Self Employed,Myntra,Mobile Browser,Weekly,No,No,15 - 30 minutes,3,3,2,2,3,4,4,3,No,No,No,No,0 - 10 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,1 - 2,4,3,2,3,Partially Planned
3/12/2026 20:59:21,16 - 20,Female,Working Professional,Ajio,Mobile Browser,Weekly,No,No,Less than 5 minutes,3,3,5,5,3,5,3,3,Yes,Yes,No,No,10 - 30 %,No,Buy Now Pay Later,Rarely,Rarely,3 - 5,1,1,5,2,Completely Unplanned
3/12/2026 21:01:15,25 - 29,Male,Self Employed,Meesho,Mobile App,Once a month,No,No,5 - 15 minutes,2,2,3,2,3,2,2,3,Yes,No,Yes,No,30 - 50 %,Yes,Cash on Delivery,Sometimes,Always,3 - 5,4,2,2,3,Completely Unplanned
3/12/2026 21:03:05,21 - 24,Female,Student,Myntra,Mobile App,Once a month,No,No,5 - 15 minutes,3,3,2,4,3,4,2,3,No,Yes,Yes,Yes,10 - 30 %,Yes,Debit Card,Sometimes,Rarely,1 - 2,3,2,2,2,Partially Planned
3/12/2026 21:04:58,21 - 24,Male,Student,Meesho,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,3,5,5,4,5,2,5,No,No,No,No,More than 50%,Yes,Cash on Delivery,Rarely,Rarely,3 - 5,1,3,4,1,Partially Planned
3/12/2026 21:06:47,25 - 29,Female,Working Professional,Amazon,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,3,5,5,5,4,5,2,5,No,Yes,Yes,Yes,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Rarely,Rarely,More than 5,3,3,4,2,Completely Unplanned
3/12/2026 21:08:32,25 - 29,Male,Student,Myntra,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,5,5,4,4,4,5,2,5,Yes,Yes,No,No,10 - 30 %,Yes,"UPI (Gpay, Phonepe, Paytm)",Rarely,Rarely,More than 5,3,2,4,3,Completely Unplanned
3/12/2026 21:10:20,16 - 20,Female,Student,Myntra,Mobile App,Multiple times in a month,No,No,Less than 5 minutes,4,3,4,5,3,5,4,3,Yes,No,Yes,Yes,30 - 50 %,No,Buy Now Pay Later,Never,Never,More than 5,2,1,5,1,Completely Unplanned
3/12/2026 21:12:03,25 - 29,Female,Working Professional,Flipkart,Mobile Browser,Weekly,No,No,5 - 15 minutes,3,3,2,2,4,3,3,3,No,No,Yes,No,30 - 50 %,No,Cash on Delivery,Always,Always,3 - 5,2,4,3,2,Partially Planned
3/12/2026 21:13:48,16 - 20,Female,Working Professional,Ajio,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,5,4,5,5,3,5,2,3,Yes,No,Yes,Yes,More than 50%,Yes,Cash on Delivery,Rarely,Never,More than 5,1,3,4,1,Partially Planned
3/12/2026 21:15:30,21 - 24,Male,Student,Myntra,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,5,5,5,5,5,5,4,3,Yes,Yes,Yes,Yes,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Rarely,Never,3 - 5,1,3,3,2,Completely Unplanned
3/12/2026 21:17:20,16 - 20,Male,Student,Ajio,Mobile App,Weekly,No,No,5 - 15 minutes,4,5,5,5,4,4,2,3,No,Yes,Yes,No,30 - 50 %,Yes,Buy Now Pay Later,Rarely,Rarely,3 - 5,1,2,4,1,Partially Planned
3/12/2026 21:19:03,21 - 24,Female,Working Professional,Amazon,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,3,4,5,4,3,4,3,5,Yes,No,No,Yes,30 - 50 %,No,Buy Now Pay Later,Rarely,Rarely,More than 5,2,2,3,1,Completely Unplanned
3/12/2026 21:20:49,30 - 34,Female,Student,Myntra,Mobile App,2 - 3 times a month,No,Yes,5 - 15 minutes,2,4,2,2,3,3,3,2,No,No,Yes,Yes,0 - 10 %,No,Cash on Delivery,Always,Rarely,1 - 2,4,4,2,4,Completely Planned
3/12/2026 21:22:38,21 - 24,Female,Student,Amazon,Laptop / Desktop,2 - 3 times a month,No,Yes,5 - 15 minutes,2,2,2,3,2,4,4,4,Yes,Yes,Yes,No,0 - 10 %,Yes,Credit Card,Rarely,Always,3 - 5,4,3,2,3,Completely Planned
3/12/2026 21:24:22,25 - 29,Female,Student,Meesho,Mobile Browser,Weekly,No,No,5 - 15 minutes,4,4,3,3,3,4,3,4,Yes,No,Yes,No,10 - 30 %,No,Cash on Delivery,Rarely,Always,3 - 5,4,4,2,3,Partially Planned
3/12/2026 21:26:10,25 - 29,Male,Self Employed,Meesho,Mobile App,2 - 3 times a month,Yes,No,15 - 30 minutes,2,3,3,3,2,2,3,2,No,Yes,Yes,No,10 - 30 %,Yes,Debit Card,Sometimes,Always,1 - 2,3,3,2,3,Completely Unplanned
3/12/2026 21:27:58,21 - 24,Male,Student,Flipkart,Mobile Browser,Weekly,No,Yes,15 - 30 minutes,4,3,4,2,3,3,4,2,No,Yes,Yes,Yes,0 - 10 %,No,Credit Card,Rarely,Always,1 - 2,4,3,3,3,Partially Planned
3/12/2026 21:29:42,25 - 29,Female,Working Professional,Amazon,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,3,3,5,5,3,4,3,3,Yes,Yes,Yes,Yes,30 - 50 %,Yes,Cash on Delivery,Never,Rarely,3 - 5,3,2,5,1,Completely Unplanned
3/12/2026 21:31:29,21 - 24,Female,Student,Myntra,Mobile App,Multiple times in a month,No,No,5 - 15 minutes,5,4,4,5,4,5,4,5,No,Yes,No,Yes,10 - 30 %,No,Buy Now Pay Later,Rarely,Rarely,More than 5,3,1,3,2,Completely Unplanned
3/12/2026 21:33:12,30 - 34,Male,Working Professional,Amazon,Laptop / Desktop,Once a month,Yes,Yes,more than 30 minutes,3,3,1,1,1,2,3,1,Yes,No,Yes,Yes,10 - 30 %,No,"UPI (Gpay, Phonepe, Paytm)",Sometimes,Always,0,5,4,2,5,Partially Planned
3/12/2026 21:34:56,25 - 29,Male,Student,Myntra,Mobile Browser,Weekly,No,No,Less than 5 minutes,3,5,5,4,3,5,2,3,Yes,No,Yes,Yes,30 - 50 %,Yes,Cash on Delivery,Rarely,Rarely,3 - 5,1,3,5,1,Partially Planned
3/12/2026 21:36:43,25 - 29,Female,Student,Amazon,Mobile Browser,Weekly,Yes,No,15 - 30 minutes,2,2,3,2,4,3,3,4,No,Yes,No,Yes,30 - 50 %,No,Debit Card,Rarely,Rarely,3 - 5,3,3,4,4,Completely Unplanned
3/12/2026 21:38:30,21 - 24,Male,Working Professional,Meesho,Mobile App,Weekly,No,No,5 - 15 minutes,4,4,4,4,3,4,2,5,Yes,Yes,No,Yes,30 - 50 %,Yes,Buy Now Pay Later,Rarely,Never,3 - 5,3,2,4,3,Completely Unplanned
3/12/2026 21:40:21,21 - 24,Male,Self Employed,Amazon,Laptop / Desktop,Once a month,Yes,Yes,15 - 30 minutes,4,2,2,2,3,4,3,3,No,Yes,Yes,Yes,30 - 50 %,Yes,Credit Card,Always,Sometimes,1 - 2,4,2,4,3,Completely Unplanned
3/12/2026 21:42:09,30 - 34,Male,Working Professional,Amazon,Mobile Browser,Once a month,Yes,Yes,more than 30 minutes,1,3,2,1,1,2,3,1,No,No,Yes,Yes,10 - 30 %,No,Debit Card,Sometimes,Always,1 - 2,4,5,3,4,Completely Planned
3/12/2026 21:44:04,25 - 29,Female,Self Employed,Flipkart,Laptop / Desktop,Once a month,Yes,No,15 - 30 minutes,3,3,3,2,4,2,4,3,Yes,Yes,Yes,No,10 - 30 %,Yes,Cash on Delivery,Always,Always,1 - 2,2,3,3,3,Partially Planned
3/13/2026 11:51:39,25 - 29,Male,Student,Myntra,Mobile Browser,Multiple times in a month,No,No,Less than 5 minutes,4,4,4,4,4,4,4,4,No,Yes,Yes,Yes,10 - 30 %,Yes,Cash on Delivery,Rarely,Rarely,3 - 5,2,1,4,3,Completely Unplanned
3/13/2026 11:53:28,25 - 29,Male,Student,Meesho,Laptop / Desktop,Once a month,Yes,No,5 - 15 minutes,4,3,2,2,3,2,2,3,Yes,No,No,No,0 - 10 %,No,Credit Card,Always,Always,1 - 2,2,2,4,3,Completely Unplanned
3/13/2026 11:55:19,16 - 20,Male,Working Professional,Ajio,Mobile App,Weekly,No,No,Less than 5 minutes,4,5,5,5,5,4,3,5,Yes,Yes,Yes,Yes,More than 50%,No,Cash on Delivery,Rarely,Never,3 - 5,3,2,3,2,Completely Unplanned
3/13/2026 11:59:23,30 - 34,Male,Working Professional,Flipkart,Mobile App,Once a month,Yes,No,15 - 30 minutes,3,3,3,4,4,2,3,2,No,Yes,Yes,Yes,0 - 10 %,Yes,Credit Card,Always,Sometimes,3 - 5,2,3,3,4,Completely Unplanned
